name;age;position;minutes_played;nationality;goals;assists;conceded;overall;attack;defense;club
Virgil van Dijk;28;Defender;3385;Netherlands;4;2;19;91;72;93;Liverpool
Cesar Azpilicueta;30;Defender;3403;Spain;1;5;38;90;73;89;Chelsea
Andrew Robertson;25;Defender;3219;Scotland;0;11;17;90;77;91;Liverpool
Alisson Becker;27;Goalkeeper;3420;Brazil;0;0;19;88;67;88;Liverpool
Luka Milivojević;28;Midfielder;3420;Serbia;12;2;47;89;81;78;Crystal Palace
Ederson;26;Goalkeeper;3420;Brazil;0;1;23;88;68;87;Manchester City
Trent Alexander-Arnold;21;Defender;2467;England;1;12;14;77;75;81;Liverpool
Nathan Aké;24;Defender;3412;Netherlands;4;0;66;88;71;84;AFC Bournemouth
Ben Mee;30;Defender;3420;England;0;2;57;88;69;86;Burnley
Jordan Pickford;25;Goalkeeper;3420;England;0;0;44;87;67;83;Everton
Kasper Schmeichel;32;Goalkeeper;3420;Denmark;0;0;43;87;67;83;Leicester City
Martin Dúbravka;30;Goalkeeper;3420;Slovakia;0;0;44;87;67;83;Newcastle United
Bruno Écuélé Manga;31;Defender;3375;Gabon;0;1;59;87;67;85;Cardiff City
Ben Chilwell;22;Defender;3240;England;0;4;39;87;70;87;Leicester City
David Luiz;32;Defender;3239;Brazil;3;2;35;87;71;87;Chelsea
Łukasz Fabiański;34;Goalkeeper;3420;Poland;0;0;48;86;67;82;West Ham United
David de Gea;28;Goalkeeper;3420;Spain;0;0;51;86;67;82;Manchester United
Ben Foster;36;Goalkeeper;3420;England;0;0;57;86;67;81;Watford
Neil Leonard Dula Etheridge;29;Goalkeeper;3420;Philippines;0;0;61;86;67;80;Cardiff City
Patrick van Aanholt;29;Defender;3198;Netherlands;3;2;41;86;70;86;Crystal Palace
Ryan Fraser;25;Midfielder;3173;Scotland;7;14;61;86;86;71;AFC Bournemouth
Matt Doherty;27;Defender;3147;Republic of Ireland;4;5;38;86;74;86;Wolverhampton Wanderers
Gylfi Sigurdsson;30;Midfielder;3134;Iceland;13;6;40;86;84;75;Everton
Eden Hazard;28;Midfielder;2926;Belgium;16;15;34;86;95;73;Chelsea
Conor Coady;26;Midfielder;3420;England;0;0;43;85;67;78;Wolverhampton Wanderers
Rui Patrício;31;Goalkeeper;3330;Portugal;0;0;43;85;66;82;Wolverhampton Wanderers
Charlie Taylor;26;Defender;3240;England;0;1;53;85;67;84;Burnley
Nathan Redmond;25;Midfielder;3276;England;6;4;53;85;76;74;Southampton
Willy Boly;28;Defender;3169;France;4;0;38;85;69;86;Wolverhampton Wanderers
Ricardo Pereira;26;Defender;3125;Portugal;2;6;40;85;73;85;Leicester City
Georginio Wijnaldum;28;Midfielder;2735;Netherlands;3;0;15;75;66;74;Liverpool
Aymeric Laporte;25;Defender;3057;France;3;3;21;85;71;88;Manchester City
Paul Pogba;26;Midfielder;3011;France;13;9;41;85;87;73;Manchester United
Kepa Arrizabalaga;25;Goalkeeper;3240;Spain;0;0;38;84;66;82;Chelsea
Christopher Schindler;29;Defender;3262;Germany;1;0;69;84;67;81;Huddersfield Town
Jack Cork;30;Midfielder;3313;England;1;2;54;84;69;75;Burnley
Wilfred Ndidi;22;Midfielder;3299;Nigeria;2;0;42;84;68;77;Leicester City
Shane Duffy;27;Defender;3088;Republic of Ireland;5;1;51;84;71;82;Brighton & Hove Albion
Lewis Dunk;27;Defender;3153;England;2;1;53;84;68;83;Brighton & Hove Albion
James Tarkowski;26;Defender;3087;England;3;1;52;83;69;82;Burnley
Craig Cathcart;30;Defender;3099;Northern Ireland;3;0;52;83;68;82;Watford
Raúl Jiménez;28;Forward;3124;Mexico;13;7;39;83;85;65;Wolverhampton Wanderers
Ryan Bennett;29;Defender;3060;England;1;0;36;83;66;85;Wolverhampton Wanderers
Wilfried Zaha;26;Midfielder;3041;Ivory Coast;10;5;45;83;80;73;Crystal Palace
Felipe Anderson;26;Midfielder;3054;Brazil;9;4;43;83;78;73;West Ham United
Lucas Digne;26;Defender;2990;France;4;4;36;83;72;84;Everton
Aleksandar Mitrović;25;Forward;3282;Serbia;11;3;74;82;80;60;Fulham
N'Golo Kanté;28;Midfielder;3096;France;4;4;37;82;73;75;Chelsea
Sean Morrison;28;Defender;3040;England;1;3;57;82;69;80;Cardiff City
James McArthur;32;Midfielder;3071;Scotland;3;6;44;82;74;73;Crystal Palace
Jorginho;27;Midfielder;3165;Italy;2;0;36;81;67;76;Chelsea
Aaron Wan-Bissaka;21;Midfielder;3135;England;0;3;41;81;68;75;Crystal Palace
Abdoulaye Doucouré;26;Midfielder;3062;France;5;6;54;81;76;71;Watford
Andros Townsend;28;Midfielder;3018;England;6;4;44;81;75;73;Crystal Palace
João Moutinho;33;Midfielder;3040;Portugal;1;8;37;81;74;74;Wolverhampton Wanderers
Michael Keane;26;Defender;2970;England;1;2;37;81;67;83;Everton
Issa Diop;22;Defender;2970;France;1;0;38;81;65;83;West Ham United
Bernardo Silva;25;Midfielder;2853;Portugal;7;7;22;81;78;75;Manchester City
Mathew Ryan;27;Goalkeeper;3060;Australia;0;0;52;80;65;77;Brighton & Hove Albion
Rúben Neves;22;Midfielder;3009;Portugal;4;3;40;80;72;73;Wolverhampton Wanderers
Toby Alderweireld;30;Defender;2924;Belgium;0;0;28;80;64;85;Tottenham Hotspur
Matt Ritchie;30;Midfielder;2940;Scotland;2;8;37;80;74;73;Newcastle United
Raheem Sterling;24;Forward;2777;England;17;10;19;80;90;64;Manchester City
Christian Eriksen;27;Midfielder;2772;Denmark;8;12;34;80;83;71;Tottenham Hotspur
Declan Rice;20;Midfielder;3005;Republic of Ireland;2;0;42;79;67;73;West Ham United
Hugo Lloris;32;Goalkeeper;2970;France;0;0;30;79;64;80;Tottenham Hotspur
Antonio Rüdiger;26;Defender;2874;Germany;1;0;34;79;65;83;Chelsea
James Maddison;22;Midfielder;2850;England;7;7;39;79;78;71;Leicester City
Kyle Walker;29;Defender;2777;England;1;1;17;79;65;85;Manchester City
Marcos Alonso;28;Defender;2761;Spain;2;4;28;79;69;82;Chelsea
Joshua King;27;Forward;2974;Norway;12;3;54;78;79;60;AFC Bournemouth
Ayoze Perez;26;Forward;2929;Spain;12;2;34;78;78;63;Newcastle United
Étienne Capoue;31;Midfielder;2947;France;1;3;47;78;68;71;Watford
Jonny;25;Defender;2780;Spain;1;1;36;78;65;81;Wolverhampton Wanderers
Pierre-Emerick Aubameyang;30;Forward;2731;Gabon;22;5;40;78;90;59;Arsenal
Bernd Leno;27;Goalkeeper;2835;Germany;0;0;39;77;64;76;Arsenal
Steve Cook;28;Defender;2787;England;1;1;53;77;65;78;AFC Bournemouth
Ashley Westwood;29;Midfielder;2822;England;2;7;44;77;73;70;Burnley
Jamaal Lascelles;25;Defender;2748;England;0;1;33;77;64;81;Newcastle United
Jamie Vardy;32;Forward;2735;England;18;4;33;77;85;61;Leicester City
Mohamed Salah;27;Forward;3262;Egypt;22;8;18;90;96;71;Liverpool
Idrissa Gueye;30;Midfielder;2825;Senegal;0;2;29;76;66;73;Everton
Sergio Aguero;31;Forward;2480;Argentina;21;8;15;76;91;61;Manchester City
Jonas Lössl;30;Goalkeeper;2777;Denmark;0;1;52;75;64;73;Huddersfield Town
Pierre-Emile Højbjerg;24;Midfielder;2764;Denmark;4;3;52;75;70;67;Southampton
Terence Kongolo;25;Defender;2722;Netherlands;1;1;62;75;65;75;Huddersfield Town
Sadio Mané;27;Forward;3086;Senegal;22;1;18;85;88;69;Liverpool
Kurt Zouma;25;Defender;2610;France;2;2;37;75;67;78;Everton
Luke Shaw;24;Defender;2592;England;1;4;36;75;67;78;Manchester United
Shkodran Mustafi;27;Defender;2617;Germany;2;0;36;75;65;79;Arsenal
Victor Lindelöf;25;Defender;2602;Sweden;1;1;38;75;65;78;Manchester United
Joe Bennett;29;Defender;2641;England;0;1;43;75;64;78;Cardiff City
Joel Matip;28;Defender;1532;Cameroon;1;0;9;57;58;69;Liverpool
Séamus Coleman;31;Defender;2560;Republic of Ireland;2;2;29;75;66;79;Everton
Richarlison;22;Forward;2679;Brazil;13;1;32;74;77;60;Everton
Harry Maguire;26;Defender;2599;England;3;0;36;74;65;78;Leicester City
Rondon;30;Forward;2609;Venezuela;11;7;29;74;81;60;Newcastle United
James Tomkins;30;Defender;2563;England;1;1;34;74;64;78;Crystal Palace
Roberto Pereyra;28;Forward;2825;Argentina;6;1;52;73;71;58;Watford
Denis Odoi;31;Defender;2593;Belgium;0;1;59;73;63;74;Fulham
Callum Wilson;27;Forward;2535;England;14;9;44;73;85;56;AFC Bournemouth
Calum Chambers;24;Defender;2587;England;2;0;49;73;64;76;Fulham
Souleymane Bamba;34;Defender;2475;Ivory Coast;4;1;46;73;67;75;Cardiff City
Alexandre Lacazette;28;Forward;2503;France;13;8;28;73;83;59;Arsenal
José Holebas;35;Defender;2394;Greece;3;6;38;73;70;75;Watford
David Silva;33;Midfielder;2411;Spain;6;8;14;73;76;70;Manchester City
Sergio Rico;26;Goalkeeper;2610;Spain;0;0;53;72;63;70;Fulham
Víctor Camarasa;25;Midfielder;2579;Spain;5;4;48;72;71;66;Cardiff City
DeAndre Yedlin;26;Defender;2475;USA;1;2;37;72;65;76;Newcastle United
Harry Kane;26;Forward;2427;England;17;4;28;72;83;58;Tottenham Hotspur
Troy Deeney;31;Forward;2548;England;9;5;43;71;76;56;Watford
Chris Wood;27;Forward;2582;New Zealand;10;2;43;71;74;57;Burnley
Ashley Young;34;Midfielder;2568;England;2;2;41;71;66;67;Manchester United
Granit Xhaka;27;Midfielder;2502;Switzerland;4;2;35;71;68;67;Arsenal
Mamadou Sakho;29;Defender;2417;France;0;0;32;71;62;77;Crystal Palace
Diogo José Teixeira da Silva;22;Midfielder;2371;Portugal;9;5;29;71;75;67;Wolverhampton Wanderers
Glenn Murray;36;Forward;2513;England;13;1;44;70;76;56;Brighton & Hove Albion
Davy Pröpper;28;Midfielder;2551;Netherlands;1;1;44;70;64;66;Brighton & Hove Albion
Solly March;25;Midfielder;2473;England;1;5;39;70;68;66;Brighton & Hove Albion
Will Hughes;24;Midfielder;2436;England;2;4;39;70;68;66;Watford
Kieran Trippier;29;Defender;2278;England;1;3;20;70;65;77;Tottenham Hotspur
Ryan Sessegnon;19;Defender;2298;England;2;6;58;70;69;70;Fulham
Jefferson Lerma;25;Midfielder;2511;Colombia;2;0;45;69;64;65;AFC Bournemouth
Dale Stephens;30;Midfielder;2487;England;1;1;43;69;64;65;Brighton & Hove Albion
Joe Bryan;26;Defender;2350;England;0;1;51;69;62;72;Fulham
Fernandinho;34;Midfielder;2381;Brazil;1;3;15;69;65;70;Manchester City
Marcus Rashford;22;Forward;2362;England;10;6;34;69;77;56;Manchester United
Ashley Barnes;29;Forward;2400;England;12;2;34;69;76;56;Burnley
Mark Noble;32;Midfielder;2308;England;5;5;29;69;71;66;West Ham United
Nemanja Matić;31;Midfielder;2441;Serbia;1;0;35;68;63;66;Manchester United
Lucas Torreira;23;Midfielder;2377;Uruguay;2;2;35;68;65;66;Arsenal
Moussa Sissoko;30;Midfielder;2336;France;0;3;26;68;64;67;Tottenham Hotspur
Sokratis Papastathopoulos;31;Defender;2199;Greece;1;2;31;68;63;74;Arsenal
Jonathan Hogg;30;Midfielder;2377;England;0;1;42;67;62;64;Huddersfield Town
Aaron Mooy;29;Midfielder;2327;Australia;3;1;46;67;65;63;Huddersfield Town
Maxime Le Marchand;30;Defender;2251;France;0;1;50;67;62;71;Fulham
Robert Snodgrass;32;Midfielder;2222;Scotland;2;5;31;67;68;64;West Ham United
Mathias Jørgensen;29;Defender;2148;Denmark;3;1;37;67;64;72;Huddersfield Town
Lucas Moura;27;Midfielder;2127;Brazil;10;0;16;67;70;66;Tottenham Hotspur
Aron Einar Gunnarsson;30;Midfielder;2274;Iceland;1;1;37;66;63;64;Cardiff City
Alex McCarthy;29;Goalkeeper;2250;England;0;0;37;66;61;68;Southampton
Ryan Bertrand;30;Defender;2160;England;1;0;36;66;61;72;Southampton
Jan Bednarek;23;Defender;2151;Poland;0;1;33;66;61;73;Southampton
Martín Montoya;28;Defender;2166;Spain;0;1;38;66;61;72;Brighton & Hove Albion
Chris Smalling;29;Defender;2128;England;1;0;34;66;61;72;Manchester United
İlkay Gündoğan;29;Midfielder;2135;Germany;6;3;15;66;69;66;Manchester City
Fabian Schär;27;Defender;2002;Switzerland;4;1;21;66;65;73;Newcastle United
David Brooks;22;Forward;2278;England;7;5;39;65;73;53;AFC Bournemouth
Jean Michauebl Seri;28;Midfielder;2252;Ivory Coast;1;2;53;65;64;60;Fulham
Adam Smith;28;Defender;2073;England;1;1;30;65;62;72;AFC Bournemouth
Pablo Zabaleta;34;Defender;2092;Argentina;0;1;32;65;61;72;West Ham United
Michail Antonio;29;Midfielder;2099;England;6;4;26;65;70;63;West Ham United
Leroy Sané;23;Midfielder;1867;Germany;10;10;14;65;79;63;Manchester City
Philip Billing;23;Midfielder;2192;Denmark;2;0;41;64;62;62;Huddersfield Town
Asmir Begović;32;Goalkeeper;2160;Bosnia and Herzegovina;0;0;44;64;60;66;AFC Bournemouth
Bernard Anício Caldeira Duarte;27;Midfielder;2128;Brazil;1;3;19;64;64;65;Everton
Jannik Vestergaard;27;Defender;2030;Denmark;0;0;27;64;60;72;Southampton
Heung-Min Son;27;Forward;2048;South Korea;12;6;20;64;78;54;Tottenham Hotspur
Chris Löwe;30;Defender;2056;Germany;0;2;52;64;62;68;Huddersfield Town
Erik Durm;27;Defender;2052;Germany;0;1;43;64;61;69;Huddersfield Town
Tim Ream;32;Defender;2051;USA;0;0;47;64;60;69;Fulham
Gerard Deulofeu;25;Forward;2082;Spain;10;5;28;64;75;53;Watford
Jonny Evans;31;Defender;1995;Northern Ireland;1;0;22;64;60;73;Leicester City
Callum Paterson;25;Defender;1996;Scotland;4;1;37;64;64;70;Cardiff City
Fabián Balbuena;28;Defender;2014;Paraguay;1;0;27;64;61;72;West Ham United
Tom Cairney;28;Midfielder;2198;Scotland;1;1;49;63;62;60;Fulham
Romelu Lukaku;26;Forward;2130;Belgium;12;0;36;63;72;52;Manchester United
Oriol Romeu;28;Midfielder;2140;Spain;1;0;32;63;61;63;Southampton
Mohamed Diamé;32;Midfielder;2165;Senegal;0;0;28;63;60;64;Newcastle United
Matteo Guendouzi;20;Midfielder;2143;France;0;0;28;63;60;64;Arsenal
Paul Dummett;28;Defender;1986;Wales;0;0;27;63;59;72;Newcastle United
Fabinho;26;Midfielder;2013;Brazil;1;2;13;63;63;65;Liverpool
Sead Kolašinac;26;Defender;1891;Bosnia and Herzegovina;0;5;26;63;64;71;Arsenal
Davinson Sánchez;23;Defender;1943;Colombia;1;1;21;63;61;72;Tottenham Hotspur
Wes Morgan;35;Defender;1926;Jamaica;3;0;24;63;62;71;Leicester City
Jan Vertonghen;32;Defender;1915;Belgium;1;0;21;63;60;72;Tottenham Hotspur
Nacho Monreal;33;Defender;1861;Spain;1;3;21;63;63;71;Arsenal
Willian;31;Forward;2108;Brazil;3;6;23;62;69;54;Chelsea
Alex Pritchard;26;Midfielder;2092;England;2;0;39;62;62;61;Huddersfield Town
Jeff Hendrick;27;Midfielder;2069;Republic of Ireland;3;0;41;62;63;60;Burnley
Nampalys Mendy;27;Midfielder;2088;France;0;0;26;62;60;63;Leicester City
Marko Arnautović;30;Forward;2000;Austria;10;4;31;62;74;51;West Ham United
Demarai Gray;23;Midfielder;1992;England;4;1;26;62;64;62;Leicester City
Jordan Henderson;29;Midfielder;1983;England;1;3;11;62;63;65;Liverpool
Angelo Ogbonna;31;Defender;1870;Italy;1;1;32;62;61;69;West Ham United
Adrian Mariappa;33;Defender;1921;Jamaica;0;0;29;62;59;70;Watford
Cyrus Christie;27;Defender;1943;Republic of Ireland;0;1;40;62;60;68;Fulham
Danny Rose;29;Defender;1806;England;0;3;12;62;62;72;Tottenham Hotspur
Theo Walcott;30;Forward;2122;England;5;2;33;61;67;52;Everton
Kiko Femenía;28;Midfielder;2045;Spain;1;1;38;61;62;60;Watford
André Gomes;26;Midfielder;1986;Portugal;1;1;27;61;61;62;Everton
Harry Arter;29;Midfielder;2008;Republic of Ireland;0;1;37;61;61;60;Cardiff City
James Ward-Prowse;24;Midfielder;1942;England;7;0;36;61;66;59;Southampton
Ben Davies;26;Defender;1839;Wales;0;0;24;61;59;70;Tottenham Hotspur
David Junior Hoilett;29;Forward;2142;Canada;3;1;42;60;64;51;Cardiff City
Alex Iwobi;23;Forward;1972;Nigeria;3;6;31;60;68;51;Arsenal
Pascal Groß;28;Midfielder;1878;Germany;3;3;31;60;65;59;Brighton & Hove Albion
Isaac Hayden;24;Midfielder;1886;England;1;4;25;60;64;61;Newcastle United
Cheikhou Kouyaté;29;Midfielder;1897;Senegal;0;2;24;60;61;61;Crystal Palace
Florent Hadergjonaj;25;Defender;1840;Switzerland;0;0;34;60;59;68;Huddersfield Town
Gaëtan Bong Songo;31;Defender;1805;Cameroon;0;0;32;60;59;68;Brighton & Hove Albion
Joe Gomez;22;Defender;1060;England;0;0;3;48;55;64;Liverpool
Dele Alli;23;Midfielder;1827;England;5;3;17;60;67;61;Tottenham Hotspur
Anthony Knockaert;27;Midfielder;1832;France;2;6;36;60;67;58;Brighton & Hove Albion
Arthur Masuaku;25;Defender;1756;France;0;1;26;60;59;69;West Ham United
John Stones;25;Defender;1762;England;0;0;15;60;58;71;Manchester City
Pedro Rodriguez;32;Midfielder;1780;Spain;8;2;18;60;68;61;Chelsea
Joe Ralls;26;Midfielder;1959;England;0;0;35;59;59;60;Cardiff City
Yan Valery;20;Defender;1715;France;2;1;26;59;61;68;Southampton
Bernardo;24;Defender;1750;Brazil;0;1;28;59;59;68;Brighton & Hove Albion
Matthew Lowton;30;Defender;1748;England;0;0;35;59;58;67;Burnley
Johann Berg Guðmunds­son;29;Midfielder;1748;Iceland;3;6;31;59;67;58;Burnley
Jeffrey Schlupp;26;Defender;1665;Ghana;4;1;24;59;63;68;Crystal Palace
Vicente Guaita;32;Goalkeeper;1755;Spain;0;0;21;58;58;65;Crystal Palace
Mesut Özil;31;Midfielder;1741;Germany;5;2;23;58;65;59;Arsenal
Phil Bardsley;34;Defender;1672;Scotland;0;0;22;58;58;68;Burnley
Jack Stephens;25;Defender;1697;England;1;0;30;58;59;67;Southampton
Tom Heaton;33;Goalkeeper;1710;England;0;0;23;57;58;64;Burnley
Mateo Kovačić;25;Midfielder;1743;Croatia;0;2;18;57;60;60;Chelsea
Henrikh Mkhitaryan;30;Midfielder;1643;Armenia;6;4;25;57;68;57;Arsenal
Jesse Lingard;26;Midfielder;1668;England;4;2;25;57;64;58;Manchester United
Aaron Cresswell;29;Defender;1589;England;0;1;22;57;58;67;West Ham United
Hector Bellerin;24;Defender;1535;Spain;0;5;20;57;62;67;Arsenal
Roberto Firmino;28;Forward;2620;Brazil;12;6;13;75;81;63;Liverpool
Josh Murphy;24;Forward;1825;England;3;2;27;56;64;49;Cardiff City
Joe Hart;32;Goalkeeper;1710;England;0;0;34;56;58;61;Burnley
Dominic Calvert-Lewin;22;Forward;1774;England;6;2;24;56;66;49;Everton
Dan Gosling;29;Midfielder;1737;England;2;1;31;56;61;57;AFC Bournemouth
Yves Bissouma;23;Midfielder;1769;Mali;0;0;30;56;58;58;Brighton & Hove Albion
Marc Albrighton;29;Midfielder;1626;England;2;2;17;56;62;59;Leicester City
Christian Kabasele;28;Defender;1587;Belgium;0;0;25;56;57;67;Watford
Lee Peltier;32;Defender;1542;England;0;0;21;56;57;67;Cardiff City
Charlie Daniels;33;Defender;1583;England;1;0;32;56;58;65;AFC Bournemouth
Daryl Janmaat;30;Defender;1521;Netherlands;0;2;22;56;59;66;Watford
Anthony Martial;23;Forward;1623;France;10;2;25;55;70;47;Manchester United
Danny Ings;27;Forward;1668;England;7;3;26;55;68;47;Southampton
André Schürrle;28;Midfielder;1650;Germany;6;0;42;55;64;54;Fulham
Wayne Hennessey;32;Goalkeeper;1575;Wales;0;0;23;55;57;62;Crystal Palace
Cedric Soares;28;Defender;1494;Portugal;1;2;26;55;60;65;Southampton
Federico Fernández;30;Defender;1484;Argentina;0;1;22;55;58;66;Newcastle United
Maya Yoshida;31;Defender;1520;Japan;0;1;27;55;58;65;Southampton
Steve Mounié;25;Forward;1777;Benin;2;3;34;54;63;47;Huddersfield Town
Mario Lemina;26;Midfielder;1615;Gabon;1;1;32;54;60;56;Southampton
Harry Winks;23;Midfielder;1591;England;1;0;16;54;58;58;Tottenham Hotspur
Dwight McNeil;19;Forward;1599;England;3;5;22;53;65;47;Burnley
Eric Dier;25;Midfielder;1510;England;3;0;16;53;60;57;Tottenham Hotspur
Laurent Koscielny;34;Defender;1328;France;3;0;21;53;59;64;Arsenal
Riyad Mahrez;28;Midfielder;1339;Algeria;7;4;9;53;67;56;Manchester City
Leander Dendoncker;24;Midfielder;1469;Belgium;2;0;19;52;59;56;Wolverhampton Wanderers
Christian Atsu Twasam;27;Midfielder;1487;Ghana;1;0;16;52;58;57;Newcastle United
André-Frank Zambo Anguissa;23;Midfielder;1518;Cameroon;0;0;30;52;57;55;Fulham
Bobby Reid;26;Midfielder;1422;England;5;2;27;52;64;54;Cardiff City
Ander Herrera;30;Midfielder;1404;Spain;2;3;17;52;62;56;Manchester United
Stuart Armstrong;27;Midfielder;1432;Scotland;3;2;23;52;62;55;Southampton
Aaron Ramsey;28;Midfielder;1327;Wales;4;6;12;52;66;56;Arsenal
James Milner;33;Midfielder;1785;England;5;4;11;60;67;62;Liverpool
Max Meyer;24;Midfielder;1414;Germany;1;2;19;51;60;55;Crystal Palace
Phil Jones;27;Defender;1263;England;0;1;16;51;57;64;Manchester United
Simon Francis;34;Defender;1226;England;0;2;23;51;58;62;AFC Bournemouth
Nathaniel Clyne;28;Defender;1254;England;0;1;24;51;57;62;AFC Bournemouth
Vincent Kompany;33;Defender;1223;Belgium;1;0;7;51;57;65;Manchester City
Nicolas Otamendi;31;Defender;1233;Argentina;0;0;7;51;56;65;Manchester City
Juninho Bacuna;22;Midfielder;1414;Netherlands;1;0;36;50;58;52;Huddersfield Town
Andrew Surman;33;Midfielder;1438;England;0;0;35;50;57;52;AFC Bournemouth
Hélder Wander Sousa Azevedo Costa;25;Midfielder;1345;Portugal;1;2;18;50;59;55;Wolverhampton Wanderers
Robert Kenedy Nunes do Nascimento;23;Midfielder;1344;Brazil;1;1;17;50;58;55;Newcastle United
Ross Barkley;25;Midfielder;1241;England;3;5;13;50;64;54;Chelsea
Juan Mata;31;Midfielder;1294;Spain;3;2;14;50;61;55;Manchester United
Matt Targett;24;Defender;1185;England;1;3;24;50;59;61;Southampton
Andre Gray;28;Forward;1358;England;7;2;23;49;65;44;Watford
Javier Hernandez;31;Forward;1335;Mexico;7;1;16;49;64;45;West Ham United
Ki Sung-yueng;30;Midfielder;1302;South Korea;0;1;18;49;57;54;Newcastle United
Bruno Saltor Grau;39;Defender;1136;Spain;0;1;17;49;56;62;Brighton & Hove Albion
Wesley Hoedt;25;Defender;1170;Netherlands;0;0;20;49;55;62;Southampton
Javier Manquillo;25;Defender;1097;Spain;0;3;12;49;58;62;Newcastle United
Aaron Lennon;32;Midfielder;1217;England;1;1;20;48;58;52;Burnley
Tom Smith;27;Defender;1141;England;0;0;34;48;55;59;Huddersfield Town
Oleksandr Zinchenko;22;Midfielder;1153;Ukraine;0;3;4;48;58;55;Manchester City
Dejan Lovren;30;Defender;985;Croatia;1;0;7;47;55;62;Liverpool
Martin Kelly;29;Defender;1110;England;0;0;18;48;55;61;Crystal Palace
